What island is home to statues called Mauis ?,what,what island,WDT,NN,VBZ,LOC
What is a fear of black people ?,what,what is,WP,VBZ,VBZ,ENTY
What 's the most extensively grown and eaten food ?,what,what 's,WP,VBZ,VBZ,ENTY
What was the worst hurricane ?,what,what was,WP,VBD,VBD,ENTY
How can I get started in writing for television ?,how,how can,WRB,MD,VBN,DESC
Where was Pythagoras born ?,where,where was,WRB,VBD,VBN,LOC
What 1927 silent film received an international revival in 1981 ?,what,what 1927,WP,CD,VBD,ENTY
What is the price for AAA 's liability auto insurance ?,what,what is,WP,VBZ,VBZ,NUM
What is LMDS ?,what,what is,WP,VBZ,VBZ,ABBR
Who are the top ten richest people in the world ?,who,who are,WP,VBP,VBP,HUM
Who is the leader of Brunei ?,who,who is,WP,VBZ,VBZ,HUM
What is the capital of Italy ?,what,what is,WP,VBZ,VBZ,LOC
What game does Garry Kasparov play ?,what,what game,WDT,NN,VB,ENTY
How do you get a pointsettia to turn red ?,how,how do,WRB,VBP,VB,DESC
What is kept in Fort Knox that is so valuable ?,that,what is that is,WDT,VBZ,VBZ,ENTY
What is the greatest hiking Web site ?,what,what is,WP,VBZ,VBZ,LOC
"What is the population of Arcadia , Florida ?",what,what is,WP,VBZ,VBZ,NUM
What Stephen King novel is set in a graveyard for pets ?,what,what stephen,WP,NNP,VBN,ENTY
Who were the head writers for the Smothers Brothers Comedy Hour ?,who,who were,WP,VBD,VBD,HUM
Who portrayed Prewett in From Here to Eternity ?,who,who portrayed,WP,VBD,VBD,HUM
What was the sequel to The Pink Panther ?,what,what was,WP,VBD,VBD,ENTY
How many people live in cities ?,how,how many,WRB,JJ,VBP,NUM
How high must a mountain be to be called a mountain ?,how,how high,WRB,JJ,VB,NUM
What Scottish poet penned To a Mouse and To a Louse ?,what,what scottish,WDT,JJ,NN,HUM
What is the name of the inventor of silly putty ?,what,what is,WP,VBZ,VBZ,HUM
What ocean surrounds the Madeira Islands ?,what,what ocean,WDT,NN,VBZ,LOC
What famous communist leader died in Mexico City ?,what,what famous,WDT,JJ,VBD,HUM
What was John Steinbeck 's travelling companion Charley ?,what,what was,WP,VBD,VBD,ENTY
What are the capital cities of the two large countries that occupy the Iberian peninsula in Europe ?,that,what are that occupy,WDT,VBP,VBP,LOC
How many mines can still be found in the Falklands after the war ended ?,how,how many,WRB,JJ,VBN,NUM
How can I get in touch with Michael Moore of `` Roger & Me '' ?,how,how can,WRB,MD,VB,DESC
How is ` qigong ' properly pronounced ?,how,how is,WRB,VBZ,VBN,DESC
How many gallons of water go over Niagra Falls every second ?,how,how many,WRB,JJ,VB,NUM
What turns blue litmus paper red ?,what,what turns,WP,VBZ,VBZ,ENTY
Who was the first woman to run the mile in less than 4 36893 minutes ?,who,who was,WP,VBD,VBD,HUM
How many copies of an album must be sold for it to be a gold album ?,how,how many,WRB,JJ,VBN,NUM
What is `` the soft drink for adults '' ?,what,what is,WP,VBZ,VBZ,ENTY
What is the only vegetable that starts with `` z '' ?,that,what is that starts,WDT,VBZ,VBZ,ENTY
