WH,WH-Bigram,WH-POS,WH-NBOR-POS,Root-POS,Class
how,how did,WRB,VBD,VB,DESC
what,what films,WP,NNS,VBD,ENTY
how,how can,WRB,MD,VB,DESC
what,what fowl,WDT,NN,VBZ,ENTY
what,what is,WP,VBZ,VBZ,ABBR
what,what contemptible,WDT,JJ,VBD,HUM
what,what team,WDT,NN,VBP,HUM
what,what is,WP,VBZ,VBZ,HUM
what,what are,WP,VBP,VBP,DESC
when,when was,WRB,VBD,VBD,NUM
why,why do,WRB,VBP,NN,DESC
who,who was,WP,VBD,VBD,HUM
who,who killed,WP,VBD,VBD,HUM
what,what is,WP,VBZ,VBN,ENTY
what,what sprawling,WP,VBG,VBZ,LOC
what,what did,WP,VBD,VBD,DESC
how,how many,WRB,JJ,VBN,NUM
what,what is,WP,VBZ,VBZ,DESC
what,what is,WP,VBZ,VBZ,DESC
what,what is,WP,VBZ,VBZ,NUM
what,what articles,WDT,NNS,VBP,ENTY
what,what \'s,WP,VBZ,VBZ,DESC
what,what is,WP,VBZ,VBZ,DESC
what,what \'s,WP,VBZ,VBZ,ENTY
who,who was,WP,VBD,VBD,HUM
what,what is,WP,VBZ,VBZ,LOC
which,which two,WDT,CD,VBP,LOC
what,what does,WP,VBZ,NN,ABBR
what,what does,WP,VBZ,VB,ENTY
how,how many,WRB,JJ,VBP,NUM
that,which company that manufactures,WDT,VBZ,VBZ,HUM
how,how many,WRB,JJ,VBP,NUM
what,what do,WP,VBP,VB,DESC
when,when did,WRB,VBD,VB,NUM
what,what religion,WDT,NN,IN,ENTY
where,where do,WRB,VBP,VB,LOC
what,what relative,WDT,NN,VBN,ENTY
how,how can,WRB,MD,VB,DESC
what,what was,WP,VBD,VBD,ENTY
how,how many,WRB,JJ,VB,NUM
how,how many,WRB,JJ,VBZ,NUM
how,how do,WRB,VBP,VB,DESC
what,what 1920s,WP,CD,VBD,HUM
what,what cocktail,WDT,NN,VBD,ENTY
what,what isps,WP,NNS,VBP,HUM
how,how do,WRB,VBP,VB,DESC
what,what weapon,WDT,NN,VBZ,ENTY
what,what country,WP,NN,VBP,LOC
what,what is,WP,VBZ,VBZ,DESC
who,who was,WP,VBD,VBD,HUM
where,where did,WRB,VBD,VB,DESC
who,who is,WP,VBZ,VBZ,HUM
what,what is,WP,VBZ,VBZ,DESC
what,what \'s,WP,VBZ,VBZ,ENTY
what,what \'s,WP,VBZ,VBZ,ENTY
what,what u.s.,WP,NNP,VBD,LOC
what,what is,WP,VBZ,VBZ,DESC
where,where is,WRB,VBZ,VBZ,LOC
what,what does,WP,VBZ,NN,DESC
what,what country,WP,NN,VBZ,LOC
what,what is,WP,VBZ,VBZ,DESC
who,who do,WP,VBP,VBP,HUM
which,which city,WDT,NN,VBZ,LOC
what,what is,WP,VBZ,VBZ,DESC
why,why do,WRB,VBP,VB,DESC
what,what are,WP,VBP,VBP,LOC
what,what are,WP,VBP,VBN,DESC
what,what body,WDT,NN,VB,LOC
who,who is,WP,VBZ,VBZ,HUM
when,what does when it,WRB,PRP,VB,ENTY
what,what is,WP,VBZ,VBZ,DESC
who,who starred,WP,VBD,VBD,HUM
how,how do,WRB,VBP,VB,DESC
what,what 19th,WDT,JJ,VBD,HUM
what,what part,WDT,NN,VBZ,ENTY
how,how do,WRB,VBP,VB,DESC
what,what country,WP,NN,VB,LOC
what,what is,WP,VBZ,VBZ,ENTY
how,how many,WRB,JJ,VBP,NUM
what,what is,WP,VBZ,VBZ,DESC
what,what is,WP,VBZ,VBZ,LOC
what,what was,WP,VBD,VBD,ENTY
how,how many,WRB,JJ,VBN,NUM
what,what country,WP,NN,NN,LOC
what,what is,WP,VBZ,VBZ,ENTY
who,who were,WP,VBD,VBD,HUM
which,which year,WDT,NN,VBD,NUM
when,when did,WRB,VBD,VB,NUM
what,what causes,WP,VBZ,VBZ,DESC
what,what are,WP,VBP,VBP,DESC
what,what j.r.r.,WP,NNP,VBZ,ENTY
what,what is,WP,VBZ,NN,DESC
what,what is,WP,VBZ,VBZ,DESC
what,what company,WDT,NN,VBZ,HUM
what,what is,WP,VBZ,VBZ,DESC
when,when did,WRB,VBD,VB,NUM
what,what country,WP,NN,VBN,LOC
who,who invented,WP,VBD,VBD,HUM
